blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
base,leetswap,1,2024-02-25,0xad72d06ac4853e0ecaa7c6a904e14c728b4d03269359c8be1905035b3b8f102c,42,0x4200000000000000000000000000000000000006,0x27d2decb4bfc9c76f0309b8e88dec3a601fe25a8,11034960,2982062577979010,310513650677072652240
base,leetswap,1,2024-02-24,0x7a907b974843c48b0015a87901061757011bbfd3b00608ef73cd8a97a1dae80f,40,0xeb466342c4d449bc9f53a865d5cb90586f405215,0x4200000000000000000000000000000000000006,10997399,10000,3386058002150
